"id","extraction_id","resource_fk","_name"
13939,"6bae5d3523",1,NULL
13940,"ad2a4d0d7e",1,NULL
13942,"b12f6b8e89",1,NULL
13993,"6aed137ef5",1,NULL
13995,"c3f9b97978",1,NULL
13996,"6ad5e1e2be",1,NULL
13997,"7f8ebf1d6c",1,NULL
13999,"cb42515588",1,NULL
14000,"42e27da3c4",1,NULL
14001,"64b026f8e0",1,NULL
22368,"555bcd20a8",1,NULL
22369,"f71f01f956",1,NULL
22370,"5bafc9c3c3",1,NULL
22371,"3a339e1384",1,NULL
22372,"44a7113310",1,NULL
22373,"c2add571c5",1,NULL
22374,"c0a97810e2",1,NULL
22375,"b04810ab01",1,NULL
22376,"1e5f46402c",1,NULL
22377,"98c7eaf0d2",1,NULL
22378,"75e035415e",1,NULL
22379,"4cae19e18d",1,NULL
22380,"c83ce9a404",1,NULL
22381,"eac3fbee5f",1,NULL
22382,"a187a2037d",1,NULL
22383,"1c416dc83d",1,NULL
22384,"ca149a582e",1,NULL
22385,"a3dd24fd4c",1,NULL
22386,"9b84b517ca",1,NULL
22387,"8acd5abba9",1,NULL
22388,"05c422a1da",1,NULL
22389,"8efc996124",1,NULL
22390,"e110ee177d",1,NULL
22391,"0f7618b1ea",1,NULL
22392,"1bb99dde54",1,NULL
22393,"2d51b9bc6b",1,NULL
22394,"91735e18a2",1,NULL
22395,"1563a5de27",1,NULL
22396,"02e30fee86",1,NULL
22397,"61ff39a1fe",1,NULL
22398,"53ec1b2963",1,NULL
22399,"f92c3eb7fc",1,NULL
22400,"3db43e7d00",1,NULL
22401,"67e9c971fa",1,NULL
22402,"12aceed002",1,NULL
22439,"9cbca89065",1,NULL
22440,"f854ddb441",1,NULL
22441,"4a3e781ebb",1,NULL
22442,"033babc49a",1,NULL
22443,"d0d97f0b96",1,NULL
22444,"b8c25d5f08",1,NULL
22446,"660b0ed725",1,NULL
22447,"5b00dda1e0",1,NULL
22448,"38c4431aff",1,NULL
22449,"f234cc3627",1,NULL
22450,"ed80a5f8ff",1,NULL
